distance_km,duration_min,vehicle_type,make,model,vehicle_year,seats,fuel_type,nominal_l_per_100km,allowed_load_kg,passengers,load_kg,traffic_band,weather,ac_used,urban_share,highway_share,actual_liters
76.8,79.3,Bus,Mercedes,Sprinter,2025,40,Petrol,17.7,2000,3,170.9,High,Hot,0,0.64,0.36,16.9
426.5,756.6,Bus,Toyota,Coaster,2020,18,Petrol,19.1,3000,16,1043.4,Low,Hot,1,0.61,0.39,107.07
176.5,364.4,Car,Kia,Cerato,2022,5,Petrol,7.5,400,5,280.1,Low,Clear,0,0.5,0.5,15.15
404.2,426.3,Car,Toyota,Corolla,2016,5,Diesel,7.6,600,5,264.0,Low,Rain,0,0.9,0.1,39.88
271.2,340.4,Car,Nissan,Sunny,2020,4,Diesel,6.6,400,1,289.5,Low,Clear,0,0.42,0.58,19.21
167.7,291.1,Van,Ford,Transit,2025,12,Diesel,9.5,1100,4,466.3,High,Rain,0,0.41,0.59,22.64
203.7,225.5,Bus,Toyota,Coaster,2019,22,Petrol,19.0,3000,7,619.8,Medium,Clear,0,0.43,0.57,46.19
21.8,60.5,Van,Toyota,Hiace,2025,8,Petrol,9.6,900,5,646.2,High,Clear,0,0.64,0.36,2.79
111.5,276.4,Car,Toyota,Corolla,2021,4,Petrol,7.5,600,3,472.2,Medium,Rain,1,0.6,0.4,12.19
433.6,587.3,Bus,Isuzu,Bus,2025,30,Petrol,15.4,2000,1,328.1,Medium,Clear,0,0.53,0.47,75.21
342.1,317.2,Bus,Toyota,Coaster,2019,40,Petrol,19.8,3000,30,1077.9,Low,Rain,0,0.32,0.68,79.41
46.4,75.9,Van,Hyundai,H1,2020,8,Diesel,11.3,900,2,508.0,Low,Rain,1,0.4,0.6,7.27
107.0,128.5,Van,Ford,Transit,2019,10,Petrol,9.4,700,6,126.1,Low,,0,0.67,0.33,11.39
86.4,105.1,Van,Hyundai,H1,2023,12,Petrol,10.5,1100,7,259.9,High,Hot,0,0.55,0.45,12.1
10.3,37.4,Car,Nissan,Sunny,2016,4,Diesel,7.7,500,3,193.6,Medium,Hot,1,0.3,0.7,1.08
85.1,184.6,Car,Nissan,Sunny,2023,5,Petrol,6.9,500,2,410.8,High,Windy,0,0.57,0.43,8.71
325.6,336.3,Car,Hyundai,Elantra,2024,5,Diesel,7.2,600,5,517.9,Low,Rain,0,0.69,0.31,27.84
419.7,693.6,Van,Ford,Transit,2024,12,Diesel,9.5,900,2,329.0,High,Hot,0,0.93,0.07,54.55
192.7,235.1,Car,Nissan,Sunny,2021,5,Diesel,7.2,400,1,50.1,Medium,Hot,1,0.37,0.63,17.25
328.9,388.7,Van,Hyundai,H1,2018,14,Diesel,10.2,700,12,529.8,Low,Hot,1,0.19,0.81,39.73
142.7,249.1,Bus,Mercedes,Sprinter,2022,18,Diesel,14.8,1500,5,174.9,Low,Clear,0,0.66,0.34,24.09
267.9,376.7,Van,Ford,Transit,2018,14,Petrol,9.0,1100,10,489.8,High,Windy,1,0.51,0.49,34.04
132.6,184.3,Van,Toyota,Hiace,2021,12,Petrol,8.5,1100,8,1042.7,Medium,Windy,0,0.75,0.25,15.61
373.6,648.8,Car,Nissan,Sunny,2022,5,Diesel,7.0,400,2,216.3,High,Windy,1,0.65,0.35,38.75
316.7,416.1,Car,Kia,Cerato,2020,4,Petrol,7.6,600,2,48.8,High,Clear,0,0.93,0.07,30.45
354.6,462.9,Car,Hyundai,Elantra,2020,4,Diesel,7.2,500,1,178.5,Low,Clear,1,0.76,0.24,28.58
93.6,104.0,Car,Toyota,Corolla,2016,4,Petrol,7.0,500,2,247.0,High,Windy,1,0.23,0.77,9.96
286.6,443.4,Car,Kia,Cerato,2019,4,Diesel,8.2,400,3,242.2,Medium,Hot,0,0.92,0.08,32.07
419.2,380.6,Car,Hyundai,Elantra,2021,4,Diesel,7.2,600,1,226.2,Low,Clear,0,0.51,0.49,31.95
319.4,400.7,Car,Nissan,Sunny,2023,5,Petrol,7.8,500,4,111.1,Low,Windy,1,0.72,0.28,29.29
331.5,327.8,Van,Hyundai,H1,2022,12,Diesel,10.3,1100,6,858.1,Low,Windy,0,0.66,0.34,41.06
47.8,58.6,Bus,Mercedes,Sprinter,2017,30,Diesel,15.3,3000,5,230.8,Low,Hot,0,0.51,0.49,7.93
10.8,31.1,Bus,Isuzu,Bus,2017,30,Diesel,13.3,1500,30,1069.9,Low,Rain,0,0.41,0.59,1.89
432.5,906.7,Van,Ford,Transit,2019,8,Petrol,11.4,900,7,186.7,High,,0,0.57,0.43,68.23
183.7,283.2,Bus,Toyota,Coaster,2024,40,Diesel,19.2,1500,39,542.8,Medium,Windy,1,0.82,0.18,46.86
432.9,590.4,Car,Hyundai,Elantra,2021,5,Diesel,7.9,600,1,590.1,High,Clear,0,0.94,0.06,46.95
66.6,115.8,Car,Kia,Cerato,2018,4,Petrol,6.2,500,2,143.0,Medium,Clear,1,0.58,0.42,5.08
174.8,202.5,Van,Ford,Transit,2025,8,Petrol,10.9,900,6,326.2,Medium,Rain,0,0.84,0.16,24.31
228.6,398.9,Car,Kia,Cerato,2021,4,Petrol,6.8,600,4,583.2,High,Clear,0,0.47,0.53,22.04
228.3,237.2,Bus,Isuzu,Bus,2022,18,Petrol,16.8,2000,5,587.5,Low,Rain,1,0.65,0.35,47.08
160.0,263.3,Van,Ford,Transit,2021,8,Petrol,9.0,900,1,697.3,Low,Windy,1,0.63,0.37,18.18
391.6,384.9,Bus,Mercedes,Sprinter,2018,18,Petrol,18.2,1500,4,380.0,Medium,Clear,1,0.28,0.72,89.44
264.4,295.3,Van,Ford,Transit,2022,10,Petrol,11.3,1100,3,84.9,Low,Windy,0,0.5,0.5,35.22
441.0,575.3,Bus,Toyota,Coaster,2019,18,Petrol,13.1,3000,11,591.9,High,Clear,0,0.27,0.73,77.95
163.1,283.4,Van,Hyundai,H1,2021,14,Petrol,11.5,700,9,207.6,Low,Windy,1,0.86,0.14,24.52
236.7,282.7,Car,Kia,Cerato,2022,5,Diesel,7.6,400,2,178.6,High,Hot,1,0.92,0.08,29.27
409.8,582.1,Bus,Mercedes,Sprinter,2024,22,Petrol,19.0,2000,5,794.4,High,Hot,1,0.16,0.84,110.66
72.6,138.5,Van,Hyundai,H1,2020,14,Petrol,9.7,1100,1,843.4,High,Windy,0,0.61,0.39,9.52
66.2,123.7,Car,Nissan,Sunny,2023,5,Diesel,6.5,500,1,464.2,Medium,Hot,0,0.74,0.26,5.38
325.5,485.5,Van,Hyundai,H1,2022,10,Petrol,10.2,700,10,423.8,High,,0,0.48,0.52,45.82
89.5,147.0,Bus,Toyota,Coaster,2016,18,Diesel,16.9,3000,10,564.4,Medium,Windy,0,0.69,0.31,20.49
65.2,106.0,Bus,Isuzu,Bus,2024,18,Petrol,14.3,3000,6,555.3,High,Hot,1,0.18,0.82,12.57
277.4,535.7,Car,Nissan,Sunny,2024,5,Petrol,6.2,600,1,465.6,Medium,Hot,0,0.84,0.16,21.82
282.0,481.4,Van,Ford,Transit,2016,10,Diesel,9.0,700,8,389.6,Low,Rain,0,0.28,0.72,32.31
370.0,656.0,Bus,Mercedes,Sprinter,2024,22,Diesel,19.2,2000,2,790.9,Low,Hot,0,0.67,0.33,88.04
259.7,339.0,Car,Nissan,Sunny,2025,4,Petrol,6.4,500,3,467.1,Low,Windy,1,0.41,0.59,20.64
189.1,339.6,Van,Hyundai,H1,2024,10,Diesel,9.0,900,1,116.2,High,Clear,1,0.72,0.28,23.72
236.3,282.7,Bus,Isuzu,Bus,2023,30,Petrol,19.5,3000,6,1062.7,Low,Windy,0,0.1,0.9,46.3
10.0,29.7,Van,Hyundai,H1,2019,8,Diesel,9.8,1100,2,352.4,High,Windy,0,0.2,0.8,1.25
359.8,416.4,Car,Hyundai,Elantra,2023,5,Petrol,8.1,600,4,537.4,High,Windy,1,0.77,0.23,44.29
310.0,332.2,Bus,Isuzu,Bus,2025,30,Petrol,16.9,1500,12,98.1,Low,Windy,0,0.39,0.61,55.84
125.8,288.0,Bus,Mercedes,Sprinter,2016,30,Petrol,17.9,2000,12,553.2,Medium,Hot,1,0.25,0.75,29.61
416.0,448.7,Bus,Mercedes,Sprinter,2021,40,Petrol,19.3,1500,21,189.1,Low,Hot,0,0.72,0.28,91.78
346.0,360.1,Bus,Mercedes,Sprinter,2024,30,Diesel,16.3,1500,25,388.3,Low,Windy,0,0.26,0.74,59.53
233.8,422.8,Van,Toyota,Hiace,2024,10,Diesel,9.6,700,6,204.3,High,Windy,0,0.25,0.75,28.18
179.4,217.1,Car,Nissan,Sunny,2022,4,Petrol,6.3,400,4,254.2,Medium,Windy,0,0.71,0.29,14.86
214.4,198.8,Car,Toyota,Corolla,2023,5,Diesel,6.2,500,5,143.9,Medium,Rain,0,0.69,0.31,17.83
274.0,542.5,Van,Toyota,Hiace,2021,12,Diesel,10.4,700,12,561.8,Medium,Clear,1,0.55,0.45,36.93
196.9,190.1,Car,Nissan,Sunny,2025,5,Diesel,6.2,400,3,226.9,Low,Hot,0,0.73,0.27,15.17
36.0,97.6,Van,Ford,Transit,2022,8,Petrol,11.8,700,7,242.6,High,Clear,0,0.28,0.72,5.02
96.5,102.3,Van,Ford,Transit,2019,12,Diesel,10.1,1100,11,348.9,Medium,Windy,0,0.6,0.4,12.38
388.3,375.2,Van,Ford,Transit,2017,8,Petrol,8.5,1100,7,695.2,High,Rain,1,0.42,0.58,52.79
10.2,19.9,Van,Hyundai,H1,2018,14,Diesel,9.1,1100,8,730.6,Low,Clear,0,0.65,0.35,1.06
176.2,316.3,Van,Ford,Transit,2023,10,Diesel,10.3,900,1,528.6,High,,1,0.45,0.55,27.07
68.2,100.3,Van,Ford,Transit,2017,12,Petrol,9.0,900,5,429.1,Low,Clear,0,0.5,0.5,7.24
207.0,208.2,Van,Ford,Transit,2023,8,Diesel,12.1,1100,6,474.7,Medium,Windy,0,0.13,0.87,31.74
17.1,30.1,Car,Nissan,Sunny,2025,4,Diesel,7.4,600,1,513.8,Medium,Windy,0,0.62,0.38,1.58
220.8,243.8,Car,Hyundai,Elantra,2019,5,Diesel,6.9,400,3,393.9,Low,Hot,1,0.74,0.26,20.42
79.6,123.8,Car,Hyundai,Elantra,2016,5,Diesel,6.1,500,5,132.2,High,Rain,1,0.32,0.68,7.47
430.5,609.3,Bus,Toyota,Coaster,2021,18,Petrol,13.7,3000,9,415.3,Medium,Clear,1,0.66,0.34,72.38
375.1,888.7,Bus,Toyota,Coaster,2016,22,Petrol,15.2,1500,4,828.9,Medium,Hot,1,0.31,0.69,73.13
297.1,291.3,Car,Toyota,Corolla,2022,4,Petrol,6.2,600,2,539.7,High,Hot,1,0.35,0.65,28.52
175.3,269.7,Bus,Isuzu,Bus,2016,30,Diesel,14.8,1500,27,332.3,Medium,Clear,1,0.93,0.07,33.17
51.0,127.5,Car,Nissan,Sunny,2020,4,Petrol,7.5,400,3,315.4,Low,Rain,0,0.65,0.35,4.48
217.8,325.9,Bus,Toyota,Coaster,2023,40,Diesel,17.0,3000,5,657.4,Low,Rain,1,0.2,0.8,45.68
343.4,551.6,Car,Toyota,Corolla,2023,5,Diesel,7.3,500,5,38.9,Medium,Hot,1,0.69,0.31,35.18
111.1,181.7,Bus,Mercedes,Sprinter,2025,22,Petrol,13.2,1500,21,383.1,High,Rain,0,0.13,0.87,18.37
108.7,254.3,Bus,Isuzu,Bus,2025,40,Petrol,19.6,3000,32,791.5,Medium,Clear,0,0.7,0.3,23.78
226.2,233.1,Van,Ford,Transit,2017,10,Petrol,11.8,700,4,309.8,High,Rain,1,0.2,0.8,41.95
79.8,124.1,Bus,Mercedes,Sprinter,2022,30,Diesel,13.4,2000,8,1112.3,Low,Hot,0,0.77,0.23,13.16
399.7,573.6,Car,Toyota,Corolla,2025,4,Petrol,6.4,400,4,283.1,Low,Hot,1,0.54,0.46,32.28
7.0,19.7,Car,Nissan,Sunny,2022,4,Diesel,7.6,500,1,317.1,High,Hot,1,0.75,0.25,0.83
292.0,479.0,Bus,Toyota,Coaster,2016,40,Petrol,14.2,3000,22,747.8,Medium,Clear,0,0.73,0.27,54.7
263.0,383.5,Bus,Mercedes,Sprinter,2025,18,Petrol,19.3,3000,11,291.5,Low,,0,0.18,0.82,56.33
417.9,566.1,Van,Ford,Transit,2019,14,Petrol,8.7,900,3,422.8,Low,Windy,1,0.27,0.73,41.56
74.8,102.7,Van,Hyundai,H1,2025,10,Petrol,11.5,700,3,413.1,High,Hot,0,0.45,0.55,11.95
401.9,475.8,Car,Nissan,Sunny,2019,4,Diesel,6.6,500,1,220.5,Low,Clear,1,0.72,0.28,32.3
427.7,840.9,Car,Nissan,Sunny,2022,5,Petrol,6.6,600,1,29.2,High,Windy,0,0.7,0.3,39.38
318.2,782.5,Bus,Toyota,Coaster,2023,22,Petrol,18.5,2000,13,1074.3,Medium,Clear,1,0.46,0.54,72.22
54.4,99.2,Van,Ford,Transit,2016,8,Petrol,10.6,1100,6,415.7,High,Clear,0,0.22,0.78,7.31
128.3,290.0,Car,Hyundai,Elantra,2022,5,Petrol,6.9,500,4,260.7,Low,Rain,1,0.48,0.52,11.25
127.8,153.4,Car,Nissan,Sunny,2018,4,Petrol,6.7,400,2,217.9,High,Clear,1,0.45,0.55,12.56
376.6,480.4,Bus,Isuzu,Bus,2019,18,Diesel,15.0,1500,11,793.8,Medium,Rain,1,0.49,0.51,81.45
131.6,136.5,Van,Hyundai,H1,2021,12,Petrol,11.6,700,3,504.0,Medium,Hot,0,0.81,0.19,20.88
255.3,589.6,Van,Ford,Transit,2019,10,Diesel,10.3,900,6,150.2,Medium,Hot,1,0.2,0.8,31.36
436.5,474.2,Car,Toyota,Corolla,2020,5,Petrol,7.6,500,2,403.8,High,Rain,1,0.69,0.31,55.65
46.2,121.9,Van,Toyota,Hiace,2021,14,Petrol,11.0,700,10,378.0,Medium,Hot,0,0.17,0.83,6.58
323.6,453.5,Van,Hyundai,H1,2018,8,Diesel,12.1,900,1,270.5,Medium,Windy,1,0.84,0.16,50.25
271.1,529.6,Van,Toyota,Hiace,2025,14,Diesel,11.4,900,14,482.3,Medium,Clear,1,0.18,0.82,37.75
223.3,228.6,Bus,Isuzu,Bus,2024,22,Diesel,14.4,2000,19,378.6,High,Rain,0,0.12,0.88,39.61
17.7,35.2,Van,Toyota,Hiace,2019,12,Diesel,10.2,900,2,547.0,Medium,Rain,1,0.84,0.16,2.74
70.0,114.1,Bus,Isuzu,Bus,2016,18,Petrol,18.9,1500,12,212.7,Medium,Windy,1,0.64,0.36,19.14
148.6,253.4,Car,Hyundai,Elantra,2024,4,Petrol,7.9,600,3,177.4,High,Windy,0,0.55,0.45,15.28
73.8,136.4,Van,Hyundai,H1,2019,14,Petrol,9.9,700,9,437.1,High,Clear,1,0.49,0.51,9.74
344.8,534.9,Van,Ford,Transit,2024,12,Petrol,9.1,900,1,675.1,Low,Hot,0,0.83,0.17,36.51
92.4,230.9,Car,Nissan,Sunny,2016,4,Petrol,6.2,500,1,245.2,Medium,Clear,0,0.36,0.64,6.45
381.4,368.3,Bus,Mercedes,Sprinter,2018,22,Petrol,17.7,1500,12,435.6,High,Hot,0,0.18,0.82,91.71
168.1,211.8,Car,Toyota,Corolla,2023,4,Petrol,8.3,600,1,124.9,Medium,Rain,1,0.28,0.72,17.8
252.9,578.8,Van,Toyota,Hiace,2020,10,Diesel,10.5,900,2,358.6,Medium,Windy,1,0.29,0.71,33.91
181.4,246.2,Bus,Toyota,Coaster,2017,22,Diesel,13.1,3000,4,189.2,Medium,Clear,0,0.16,0.84,29.14
126.5,146.5,Car,Nissan,Sunny,2025,5,Diesel,6.7,600,4,226.5,High,Rain,1,0.53,0.47,12.14
226.7,528.6,Van,Toyota,Hiace,2017,10,Diesel,8.6,1100,10,753.5,Low,Windy,0,0.75,0.25,24.65
248.2,225.2,Bus,Toyota,Coaster,2024,40,Diesel,16.5,3000,28,1058.5,Low,Rain,1,0.37,0.63,50.72
221.9,466.8,Bus,Toyota,Coaster,2022,22,Petrol,16.4,1500,22,673.5,High,,1,0.58,0.42,52.8
17.5,64.8,Van,Ford,Transit,2016,12,Diesel,11.6,900,6,732.4,High,Clear,1,0.42,0.58,2.97
391.7,788.7,Car,Hyundai,Elantra,2017,4,Petrol,7.6,600,3,41.7,High,Rain,1,0.33,0.67,45.77
154.5,218.8,Van,Hyundai,H1,2019,8,Petrol,11.7,700,6,133.3,Medium,Windy,1,0.27,0.73,23.6
282.9,272.2,Van,Hyundai,H1,2019,8,Petrol,9.7,1100,2,659.2,Medium,Clear,1,0.46,0.54,34.85
234.3,273.3,Van,Hyundai,H1,2025,12,Diesel,9.3,900,1,572.5,High,Hot,1,0.28,0.72,34.24
112.0,138.8,Bus,Toyota,Coaster,2018,18,Petrol,16.7,2000,14,504.1,Low,Hot,1,0.33,0.67,22.22
211.6,268.9,Van,Toyota,Hiace,2020,8,Petrol,9.1,700,1,157.4,Medium,Hot,0,0.32,0.68,24.59
404.1,466.2,Car,Toyota,Corolla,2022,4,Petrol,6.8,500,4,472.7,High,Hot,0,0.2,0.8,39.81
375.4,412.3,Van,Hyundai,H1,2021,8,Diesel,9.5,700,4,656.1,Low,Hot,0,0.25,0.75,45.57
193.6,237.5,Van,Ford,Transit,2024,12,Petrol,11.3,700,3,266.8,High,Windy,1,0.12,0.88,32.43
406.9,455.6,Bus,Isuzu,Bus,2021,22,Diesel,14.8,2000,8,1032.0,Medium,Clear,1,0.89,0.11,85.02
126.9,290.7,Car,Hyundai,Elantra,2016,5,Petrol,7.6,600,4,293.2,Medium,Windy,1,0.85,0.15,14.42
285.4,291.0,Van,Hyundai,H1,2018,12,Petrol,10.3,700,7,156.1,Medium,Windy,0,0.19,0.81,33.81
310.9,324.9,Van,Hyundai,H1,2018,14,Petrol,12.0,700,4,77.4,Medium,Hot,1,0.84,0.16,54.94
317.1,598.8,Bus,Isuzu,Bus,2020,22,Petrol,19.3,2000,14,728.5,Low,Clear,1,0.24,0.76,70.81
133.1,177.3,Bus,Toyota,Coaster,2020,18,Petrol,14.6,1500,7,728.1,Medium,Hot,1,0.25,0.75,26.99
43.2,83.0,Bus,Toyota,Coaster,2023,22,Petrol,15.6,3000,13,830.5,High,Rain,1,0.73,0.27,9.92
7.4,23.8,Car,Nissan,Sunny,2016,5,Diesel,8.5,600,4,409.3,Low,Clear,0,0.32,0.68,0.72
440.4,586.0,Van,Ford,Transit,2016,14,Diesel,9.1,700,5,528.5,Medium,Windy,1,0.62,0.38,59.61
28.7,65.1,Van,Ford,Transit,2023,14,Diesel,11.6,700,1,339.8,Low,Rain,1,0.2,0.8,4.46
160.6,294.1,Bus,Toyota,Coaster,2017,40,Diesel,16.5,3000,11,904.9,Medium,Hot,0,0.55,0.45,34.41
180.4,238.7,Bus,Mercedes,Sprinter,2017,30,Diesel,13.2,3000,27,401.8,Low,Clear,1,0.81,0.19,29.54
149.6,178.3,Bus,Mercedes,Sprinter,2023,30,Petrol,19.8,3000,26,691.6,Low,Clear,1,0.37,0.63,31.23
384.3,737.6,Car,Nissan,Sunny,2016,5,Diesel,6.4,500,3,330.6,High,Hot,0,0.35,0.65,37.0
203.2,298.8,Van,Ford,Transit,2023,8,Petrol,11.8,1100,7,117.4,Medium,Windy,0,0.47,0.53,28.16
134.4,208.2,Car,Hyundai,Elantra,2017,5,Petrol,7.3,600,4,194.2,Low,Windy,0,0.54,0.46,11.08
366.7,556.3,Car,Nissan,Sunny,2025,5,Petrol,6.2,600,5,29.4,High,Rain,0,0.77,0.23,33.69
156.9,167.2,Bus,Isuzu,Bus,2020,40,Diesel,18.3,2000,14,238.4,High,Windy,0,0.47,0.53,34.73
139.7,156.5,Van,Hyundai,H1,2023,14,Petrol,12.0,1100,12,747.7,High,Rain,1,0.17,0.83,23.81
198.9,249.2,Car,Toyota,Corolla,2019,4,Petrol,7.2,400,2,52.7,Medium,Hot,1,0.46,0.54,17.73
374.1,539.9,Van,Toyota,Hiace,2025,14,Diesel,10.8,700,2,448.7,High,Rain,1,0.82,0.18,67.06
192.8,301.6,Bus,Isuzu,Bus,2016,40,Petrol,14.6,1500,27,1069.2,Low,Rain,1,0.48,0.52,38.29
415.2,415.8,Van,Hyundai,H1,2021,10,Diesel,10.5,1100,8,161.7,Medium,Rain,1,0.81,0.19,62.47
74.6,119.8,Car,Kia,Cerato,2019,4,Petrol,7.7,400,4,135.4,Low,Clear,0,0.4,0.6,6.03
104.7,185.1,Car,Kia,Cerato,2024,5,Petrol,6.3,400,3,312.4,High,Windy,0,0.83,0.17,10.02
79.3,167.1,Car,Toyota,Corolla,2017,4,Diesel,8.1,400,3,79.7,Medium,Rain,1,0.72,0.28,8.62
156.9,204.4,Car,Nissan,Sunny,2023,5,Diesel,7.9,400,3,291.8,Medium,Windy,0,0.23,0.77,15.9
425.0,592.0,Van,Hyundai,H1,2021,14,Petrol,12.3,1100,12,890.7,Low,Clear,1,0.37,0.63,67.54
437.8,625.9,Bus,Isuzu,Bus,2024,22,Petrol,19.3,1500,18,1050.8,High,Windy,1,0.11,0.89,115.8
397.0,845.7,Car,Nissan,Sunny,2019,5,Diesel,8.2,600,4,440.6,High,Hot,1,0.28,0.72,48.94
444.2,895.8,Car,Toyota,Corolla,2022,5,Petrol,6.6,500,3,144.7,High,Windy,0,0.14,0.86,38.44
380.8,655.7,Van,Hyundai,H1,2024,10,Petrol,11.7,1100,10,746.2,High,Rain,0,0.19,0.81,63.09
194.1,387.8,Car,Hyundai,Elantra,2016,5,Diesel,8.1,400,1,160.3,High,Rain,1,0.84,0.16,25.95
62.6,92.8,Bus,Toyota,Coaster,2023,22,Diesel,14.0,1500,4,839.5,Medium,Rain,0,0.73,0.27,12.64
73.2,135.1,Van,Toyota,Hiace,2024,8,Diesel,10.0,900,5,278.7,Low,Hot,0,0.77,0.23,8.51
190.8,244.6,Bus,Toyota,Coaster,2016,18,Diesel,13.9,2000,11,942.0,Medium,Hot,0,0.53,0.47,34.6
25.4,43.7,Car,Nissan,Sunny,2024,5,Petrol,6.6,500,3,330.0,Low,Clear,1,0.58,0.42,1.9
297.9,394.3,Bus,Mercedes,Sprinter,2017,22,Diesel,18.3,3000,9,948.4,Low,Rain,0,0.79,0.21,70.06
119.4,245.0,Van,Hyundai,H1,2022,10,Petrol,10.2,1100,3,328.2,Low,Windy,0,0.23,0.77,14.31
402.4,688.1,Car,Toyota,Corolla,2022,5,Petrol,7.0,500,1,44.9,Low,Hot,1,0.53,0.47,33.97
411.6,974.7,Bus,Toyota,Coaster,2019,18,Petrol,16.4,2000,4,310.7,High,Hot,1,0.58,0.42,97.77
23.6,52.0,Bus,Mercedes,Sprinter,2023,22,Diesel,16.8,2000,20,361.3,Low,Clear,0,0.89,0.11,4.38
36.1,97.1,Bus,Mercedes,Sprinter,2025,30,Diesel,13.3,3000,27,184.8,High,Windy,1,0.28,0.72,6.53
98.7,100.1,Van,Ford,Transit,2021,14,Diesel,9.6,1100,12,164.4,Low,Rain,0,0.87,0.13,11.82
244.7,250.7,Van,Hyundai,H1,2017,8,Petrol,11.6,1100,8,746.0,Medium,Rain,1,0.43,0.57,43.72
90.2,108.3,Van,Toyota,Hiace,2021,10,Petrol,11.5,900,4,226.1,Medium,Windy,0,0.34,0.66,13.15
304.1,359.4,Car,Kia,Cerato,2025,5,Diesel,6.4,400,5,68.7,Low,Hot,1,0.89,0.11,25.84
290.2,264.5,Bus,Isuzu,Bus,2022,30,Diesel,17.8,2000,11,530.4,Medium,Windy,0,0.68,0.32,63.27
91.6,210.9,Car,Kia,Cerato,2022,5,Diesel,7.3,500,1,495.3,Low,Rain,0,0.88,0.12,8.37
379.0,646.4,Car,Toyota,Corolla,2021,5,Petrol,7.1,400,3,336.4,Medium,Hot,0,0.76,0.24,36.62
32.6,38.4,Car,Toyota,Corolla,2018,4,Petrol,6.9,600,4,58.2,High,Clear,0,0.35,0.65,2.79
280.6,446.4,Bus,Isuzu,Bus,2025,18,Petrol,16.2,2000,1,555.8,Medium,Hot,0,0.19,0.81,55.33
87.7,174.8,Car,Kia,Cerato,2023,5,Petrol,7.1,600,2,200.8,Medium,Windy,1,0.6,0.4,8.25
30.5,64.1,Van,Hyundai,H1,2018,12,Diesel,12.4,1100,1,475.8,Low,Hot,0,0.77,0.23,4.5
51.7,75.9,Bus,Toyota,Coaster,2018,30,Diesel,17.3,2000,16,278.9,Low,Hot,0,0.5,0.5,9.86
37.8,93.9,Car,Nissan,Sunny,2016,4,Diesel,8.1,400,3,187.4,High,Windy,0,0.93,0.07,4.26
410.2,970.6,Van,Ford,Transit,2020,10,Diesel,9.2,700,7,465.3,Low,Windy,0,0.36,0.64,41.89
242.0,271.1,Van,Ford,Transit,2019,8,Petrol,9.0,700,7,684.3,Low,Clear,0,0.83,0.17,25.44
33.9,66.3,Van,Toyota,Hiace,2025,14,Diesel,9.3,700,11,530.8,Medium,Rain,1,0.25,0.75,4.57
97.2,105.7,Van,Ford,Transit,2016,14,Diesel,11.1,1100,4,447.6,Medium,Rain,1,0.59,0.41,16.81
212.0,255.9,Car,Kia,Cerato,2016,5,Diesel,7.3,400,4,184.4,Medium,Rain,1,0.33,0.67,20.43
354.7,326.5,Van,Toyota,Hiace,2017,12,Diesel,11.9,1100,2,409.1,High,Hot,1,0.27,0.73,60.4
353.5,506.4,Car,Hyundai,Elantra,2021,5,Petrol,6.0,500,5,383.7,Low,Rain,0,0.84,0.16,26.04
195.8,189.8,Bus,Toyota,Coaster,2019,40,Diesel,15.4,1500,29,551.0,High,Clear,1,0.22,0.78,43.43
344.5,381.1,Bus,Toyota,Coaster,2022,30,Diesel,14.6,2000,19,47.4,Low,Hot,0,0.93,0.07,63.03
289.4,457.9,Car,Nissan,Sunny,2023,4,Diesel,7.2,500,2,35.4,High,Rain,0,0.26,0.74,26.02
81.5,92.1,Bus,Isuzu,Bus,2016,18,Petrol,16.2,2000,6,1187.7,Low,Rain,1,0.73,0.27,18.04
95.3,116.3,Van,Ford,Transit,2025,14,Petrol,9.1,1100,4,28.0,Low,Rain,0,0.8,0.2,10.5
159.3,176.7,Van,Hyundai,H1,2023,8,Diesel,11.4,900,7,559.5,Low,Rain,0,0.25,0.75,22.16
126.8,155.1,Bus,Isuzu,Bus,2018,18,Petrol,15.8,1500,3,843.7,High,Hot,1,0.45,0.55,31.58
24.9,78.0,Bus,Toyota,Coaster,2024,40,Petrol,16.2,2000,30,469.8,High,Rain,0,0.44,0.56,5.16
297.4,328.4,Bus,Isuzu,Bus,2024,40,Petrol,16.4,1500,31,988.1,Low,Hot,0,0.62,0.38,55.5
322.9,315.6,Car,Toyota,Corolla,2019,5,Petrol,6.4,500,4,354.4,High,Clear,1,0.69,0.31,30.08
445.2,674.8,Car,Kia,Cerato,2016,4,Diesel,6.5,400,1,103.8,Low,Hot,0,0.14,0.86,33.25
52.1,84.4,Bus,Mercedes,Sprinter,2019,40,Diesel,19.6,1500,21,34.1,Low,Rain,0,0.16,0.84,12.21
357.1,341.4,Van,Ford,Transit,2024,14,Petrol,12.4,700,5,672.1,High,Windy,1,0.68,0.32,73.2
204.8,279.6,Van,Ford,Transit,2025,14,Diesel,8.8,700,9,419.5,Low,Hot,0,0.62,0.38,22.87
72.5,133.2,Bus,Mercedes,Sprinter,2019,18,Petrol,14.0,2000,15,892.3,Medium,Hot,1,0.37,0.63,14.31
96.6,239.2,Van,Toyota,Hiace,2019,10,Petrol,11.9,900,4,725.3,High,Hot,1,0.54,0.46,16.9
268.7,286.6,Car,Toyota,Corolla,2018,4,Diesel,8.3,400,2,212.8,Medium,Rain,1,0.24,0.76,29.79
40.6,50.4,Van,Ford,Transit,2023,14,Petrol,12.4,700,3,340.1,Medium,Rain,0,0.8,0.2,7.09
